halt,eben,halt_eben,eigentlich,wirklich,eigentlich_wirklich,mal,ja,mal_ja,ruhig,nuneinmal,ruhig_nuneinmal,doch,schon,doch_schon,kenntnisse,culturalbg,name_cult,gender,age
3,2,2,2,1,1,3,3,3,1,3,1,2,2,2,2,multi,Southkorea,m,20s
5,2,2,3,2,2,5,5,3,5,4,3,2,3,3,5,germany,NA,f,20s
2,1,4,3,1,3,3,3,3,5,3,5,2,3,3,5,germany,NA,f,20s
2,1,2,2,2,3,3,3,3,4,2,4,2,3,4,5,germany,NA,m,20s
3,2,3,3,2,3,4,2,3,5,2,3,2,3,4,5,germany,NA,m,20s
2,2,3,3,2,2,3,3,3,4,3,2,3,2,4,5,multi,Vietnam,f,20s
2,2,4,3,2,1,3,4,2,4,2,2,2,3,4,5,germany,NA,f,20s
3,1,2,3,1,3,4,2,3,3,2,5,4,3,3,5,multi,NA,f,20s
1,2,4,3,2,3,4,5,2,2,2,2,2,2,4,1,outofeu,Southkorea,f,30s
4,1,2,2,2,2,4,4,3,5,4,2,1,4,5,5,germany,NA,f,20s
2,1,2,3,3,3,3,3,3,5,2,5,2,4,2,4,germany,NA,f,20s
2,1,2,3,2,2,4,4,2,4,1,1,2,2,4,5,germany,NA,m,20s
2,3,4,2,3,2,4,2,2,4,2,4,2,3,4,5,germany,NA,f,30s
2,2,3,2,3,3,4,3,3,5,2,3,2,2,3,5,multi,Russia,f,20s
3,1,3,2,3,3,4,4,3,5,2,3,2,4,4,5,germany,NA,f,u19
2,2,2,2,1,3,4,4,2,4,4,3,2,2,4,5,multi,Vietnam,f,20s
2,2,3,3,1,2,5,3,4,4,3,1,3,3,3,5,multi,NA,f,20s
2,2,4,3,1,2,5,4,2,5,3,4,4,4,5,3,outofeu,Turkey,f,20s
2,1,2,2,3,4,3,3,4,3,2,1,2,3,4,5,germany,NA,f,40s
1,1,3,2,1,4,4,4,3,5,5,4,3,2,3,5,multi,Libanon,f,20s
2,2,3,3,2,3,4,4,3,5,4,3,1,2,3,5,germany,NA,f,20s
2,2,3,2,3,3,4,3,3,4,3,3,2,3,3,5,multi,Morocco,f,20s
2,2,2,3,1,2,4,4,3,5,2,2,2,3,4,5,germany,NA,f,20s
2,1,3,3,1,1,4,5,3,5,3,4,3,4,2,5,multi,Spain,f,20s
2,2,3,3,2,3,4,3,3,4,2,2,2,2,4,5,germany,NA,d,30s
2,1,2,3,2,2,4,2,1,4,2,1,2,3,2,4,multi,Switcherland,f,20s
2,1,2,4,4,2,5,1,1,4,2,1,2,4,4,5,outofeu,China,f,20s
4,4,3,2,1,2,4,4,3,4,3,4,2,4,4,4,germany,NA,f,20s
5,1,3,2,3,2,5,5,3,5,2,2,3,3,4,5,outofeu,Iran,f,20s
2,1,2,3,2,1,3,4,2,5,2,4,4,4,3,5,germany,NA,f,20s
4,4,3,2,4,4,3,4,4,5,4,5,2,1,4,5,germany,NA,f,20s
2,1,2,2,1,1,3,2,1,2,3,3,1,1,4,4,germany,NA,f,20s
2,1,2,2,1,2,4,2,5,4,3,4,2,2,3,5,germany,NA,m,30s
2,2,3,3,2,2,3,3,3,4,3,4,2,3,4,5,germany,NA,m,50s
2,1,3,3,1,2,4,2,2,4,4,3,2,4,4,5,germany,NA,f,20s
